id_country,id_compound,toilet_fullclogged,privacy_wall,floor_holes,roof_solid,use_night,nightlight_rep,gender_separated,relationship,hh_cubicle_num,hh_cubicle,cleaning_arrangement,sharing,interface_rep,outflow_rep,D0,age_toilet,clean_comp,handwashing_obs,location,landlord_on_plot,bin_inside,tiling,visible_feces,insects_obs,solidwaste_obs,floor_obs,spotcheck,gender_respondent,gender_hh,hh_size,hhmember_rooms,B11_income_ppp,educ_hh,tenancy,electricity,water,lock,hh_cubicle_fct,cleanliness_rep,cleanliness_obs,cleanliness_cod
Bangladesh,1798,No,Solid,No,Solid,Yes,Yes,Private toilet,Only relatives,1,1,Not shared,Private,Pour-flush,Don't know,Pour flush to don't know where,4-6 years,Clean,No facility with soap,Inside dwelling,landlord on plot,No bin inside cubicle,No tiling,No,No,No,Finished,Yes,Female,Male,6,3,751.3351225127052,Primary,Owner,Yes,Improved on premises,Only inside,1,Clean,Neither clean nor dirty,Clean
Bangladesh,1491,No,Solid,No,Solid,Yes,No,No,Other tenants/unknown,11,more than 10,Yes,Shared,Pour-flush,Open drain,Pour flush to open drain,4-6 years,Not clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,Yes,Yes,Yes,Finished,Yes,Female,Male,5,5,360.6408588060985,None,Tenant (informal),Yes,Improved on premises,Outside and inside,more than 10,Very dirty,Very dirty,Neither clean nor dirty
Bangladesh,1493,No,Solid,No,Solid,Yes,Yes,No,Other tenants/unknown,7,7,Yes,Shared,Pour-flush,Open drain,Pour flush to open drain,4-6 years,Not clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,Yes,Yes,No,Finished,Yes,Male,Male,6,6,450.8010735076231,Primary,Tenant (informal),Yes,Improved on premises,Outside and inside,7,Very clean,Neither clean nor dirty,Neither clean nor dirty
Bangladesh,2143,No,Solid,No,Solid,Yes,Yes,Private toilet,Only relatives,1,1,Not shared,Private,Pour-flush,Don't know,Pour flush to don't know where,>9 years / don't know,Not clean,Facility with soap,Inside dwelling,landlord on plot,No bin inside cubicle,No tiling,No,Yes,No,Finished,Yes,Female,Male,7,3.5,1502.6702450254104,Primary,Owner,Yes,Improved on premises,Only inside,1,Clean,Neither clean nor dirty,Very clean
Bangladesh,2144,No,Solid,No,Solid,Yes,Yes,Private toilet,Only relatives,1,1,Not shared,Private,Pour-flush,Open drain,Pour flush to open drain,>9 years / don't know,Not clean,Facility with soap,Inside dwelling,landlord on plot,No bin inside cubicle,No tiling,No,Yes,No,Finished,Yes,Female,Male,5,2.5,901.6021470152461,Primary,Owner,Yes,Improved on premises,Outside and inside,1,Clean,Neither clean nor dirty,Clean
Bangladesh,2145,No,Solid,No,Solid,Yes,Yes,Private toilet,Only relatives,1,1,Not shared,Private,Pour-flush,Don't know,Pour flush to don't know where,1-3 years,Clean,Facility with soap,Inside dwelling,landlord on plot,No bin inside cubicle,No tiling,No,No,No,Finished,Yes,Female,Male,5,2.5,901.6021470152461,Primary,Tenant (informal),Yes,Improved on premises,Only inside,1,Very clean,Neither clean nor dirty,NA
Bangladesh,2146,No,Solid,No,Solid,Yes,Yes,Private toilet,Only relatives,1,1,Not shared,Private,Pour-flush,Open drain,Pour flush to open drain,>9 years / don't know,Not clean,Facility with soap,Inside dwelling,landlord on plot,No bin inside cubicle,No tiling,No,Yes,No,Finished,Yes,Female,Male,5,5,961.7089568162626,Primary,Owner,Yes,Improved on premises,Outside and inside,1,Very clean,Neither clean nor dirty,Very clean
Bangladesh,1549,No,Not solid,Yes,Not solid,Yes,No,No,Other tenants/unknown,11,more than 10,No,Shared,Pour-flush,Don't know,Pour flush to don't know where,7-9 years,Not clean,No facility with soap,Elsewhere,landlord on plot,No bin inside cubicle,No tiling,Yes,Yes,Yes,Finished,Yes,Female,Male,4,4,420.74766860711486,None,Owner,Yes,Unimproved/not on premises,No lock,more than 10,Very dirty,Dirty,Very dirty
Bangladesh,1550,No,Not solid,Yes,Not solid,Yes,Yes,No,Other tenants/unknown,5,5,Yes,Shared,Pour-flush,Don't know,Pour flush to don't know where,>9 years / don't know,Not clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,No,No,Yes,Finished,Yes,Male,Male,4,4,360.6408588060985,None,Tenant (informal),Yes,Improved on premises,Only inside,5,Clean,Neither clean nor dirty,Dirty
Bangladesh,1551,No,Not solid,Yes,Solid,Yes,Yes,No,Other tenants/unknown,6,6,Yes,Shared,Pour-flush,Don't know,Pour flush to don't know where,>9 years / don't know,Not clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,No,Yes,Yes,Finished,Yes,Female,Female,5,5,390.69426370660665,None,Tenant (informal),Yes,Improved on premises,Outside and inside,6,Clean,Neither clean nor dirty,Very clean
Bangladesh,1552,Yes,Not solid,No,Solid,Yes,No,No,Other tenants/unknown,4,4,Yes,Shared,Pour-flush,Don't know,Pour flush to don't know where,<1 Year,Clean,Facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,No,No,No,Finished,Yes,Male,Male,4,4,540.9612882091477,None,Tenant (informal),Yes,Improved on premises,Outside and inside,4,Clean,Neither clean nor dirty,Neither clean nor dirty
Bangladesh,2008,No,Solid,No,Solid,Yes,Yes,No,Other tenants/unknown,9,9,Yes,Shared,Pour-flush,Don't know,Pour flush to don't know where,1-3 years,Not clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,No,Yes,No,Finished,Yes,Female,Male,5,5,601.0680980101641,Primary,Tenant (informal),Yes,Improved on premises,Outside and inside,9,Dirty,Neither clean nor dirty,Clean
Bangladesh,2009,No,Solid,No,Solid,Yes,Yes,No,Other tenants/unknown,2,2,Yes,Shared,Pour-flush,Don't know,Pour flush to don't know where,>9 years / don't know,Not clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,No,Yes,No,Finished,Yes,Female,Female,5,5,450.8010735076231,None,Tenant (informal),Yes,Improved on premises,Outside and inside,2,Clean,Neither clean nor dirty,Very clean
Bangladesh,2010,No,Solid,No,Solid,Yes,Yes,No,Other tenants/unknown,5,5,Yes,Shared,Pour-flush,Don't know,Pour flush to don't know where,>9 years / don't know,Not clean,Facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,No,Yes,No,Finished,Yes,Female,Female,5,5,601.0680980101641,None,Tenant (informal),Yes,Improved on premises,Outside and inside,5,Clean,Neither clean nor dirty,Very clean
Bangladesh,2063,Yes,Solid,No,Solid,Yes,Yes,No,Other tenants/unknown,8,8,Yes,Shared,Pour-flush,Don't know,Pour flush to don't know where,>9 years / don't know,Not clean,Facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,Yes,No,No,Finished,Yes,Female,Male,5,5,480.8544784081313,Primary,Tenant (informal),Yes,Improved on premises,Outside and inside,8,Clean,Dirty,Very dirty
